State,Place_Name,Weather,Crowd_Level,Best_Time_To_Visit,Famous_For,Tourism_Type,Budget_Level
Telangana,Vikarabad,Pleasant,Low,Oct-Feb,Hill Station,Hill Station,Medium
Tripura,Ambassa,Pleasant,Low,Oct-Mar,Scenic Village,Nature,Low
Tripura,Udaipur,Pleasant,Moderate,Oct-Mar,Lake Town,Nature,Low
Tripura,Amarpur,Pleasant,Low,Oct-Mar,Palaces & Lakes,Historical,Low
Uttar Pradesh,Sikandrabad,Pleasant,Moderate,Oct-Mar,Historical Town,Historical,Low
Uttar Pradesh,Banda,Pleasant,Low,Oct-Mar,Fort & Temples,Historical,Low
Uttar Pradesh,Fatehpur,Pleasant,Low,Oct-Mar,Heritage Monuments,Historical,Low
Uttarakhand,Chakrata,Pleasant,Low,Mar-Jun,Hill Station,Hill Station,Medium
Uttarakhand,Mukteshwar,Pleasant,Moderate,Mar-Jun,Hill View,Hill Station,Medium
Uttarakhand,Joshimath,Cold,Moderate,Apr-Jun,Hill Station,Hill Station,Medium
West Bengal,Kalna,Pleasant,Low,Oct-Mar,Temples,Historical,Low
West Bengal,Sagar Island,Pleasant,Moderate,Oct-Mar,Pilgrimage Site,Religious,Low
West Bengal,Bishnupur,Pleasant,Moderate,Oct-Mar,Terracotta Temples,Historical,Low
Andaman and Nicobar,Ross Island,Pleasant,Moderate,Oct-Mar,Historical Ruins,Historical,Medium
Andaman and Nicobar,Neil Beach,Pleasant,Low,Oct-Mar,Quiet Beach,Beach,Medium
Andaman and Nicobar,Little Andaman,Pleasant,Low,Oct-Mar,Waterfall & Beach,Nature,High
Chandigarh,Sukhna Nature Park,Pleasant,Moderate,Oct-Mar,Nature Park,Nature,Low
Dadra and Nagar Haveli,Silvassa Tribal Museum,Pleasant,Low,Oct-Mar,Tribal Artifacts,Cultural,Low
Daman and Diu,Diu Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
Delhi,Jama Masjid,Pleasant,High,Oct-Mar,Historic Mosque,Religious,Low
Jammu and Kashmir,Patnitop,Cold,Moderate,May-Sep,Hill Station,Hill Station,Medium
Jammu and Kashmir,Gulmarg Gondola,Cold,High,Dec-Feb,Ski Resort,Hill Station,High
Ladakh,Hemis Monastery,Cold,Low,May-Sep,Monastery,Religious,Medium
Lakshadweep,Kadmat Island,Pleasant,Low,Oct-Mar,Coral Reef,Beach,High
Puducherry,Serenity Beach,Pleasant,Moderate,Oct-Mar,Quiet Beach,Beach,Medium
Puducherry,Chunnambar Boat House,Pleasant,Moderate,Oct-Mar,Backwater Boating,Nature,Medium
Uttar Pradesh,Kanshi Ram Smarak,Pleasant,Low,Oct-Mar,Memorial,Historical,Low
Uttar Pradesh,Chunar Fort,Pleasant,Low,Oct-Mar,Fort,Historical,Low
Uttar Pradesh,Varuna River,Pleasant,Low,Oct-Mar,Riverfront,Nature,Low
Uttar Pradesh,Bhognipur Temple,Pleasant,Low,Oct-Mar,Ancient Temple,Religious,Low
Uttar Pradesh,Chitrakoot Falls,Pleasant,Moderate,Oct-Mar,Waterfall,Nature,Medium

Rajasthan,Bundi Palace,Pleasant,Moderate,Oct-Mar,Palace,Historical,Medium
Rajasthan,Jawahar Sagar Dam,Pleasant,Low,Oct-Mar,Dam,Nature,Low
Rajasthan,Kumbhalgarh Fort,Pleasant,High,Oct-Mar,Fort,Historical,Medium
Rajasthan,Chopta,Pleasant,Moderate,Oct-Mar,Hill Station,Hill Station,Medium
Rajasthan,Sam Sand Dunes,Warm,High,Oct-Mar,Desert Safari,Adventure,Medium

Goa,Varca Beach,Warm,Moderate,Nov-Feb,Beach,Beach,Medium
Goa,Betul Beach,Warm,Low,Nov-Feb,Scenic Beach,Beach,Medium
Goa,Chorao Island,Pleasant,Low,Nov-Feb,Bird Sanctuary,Nature,Low
Goa,Salim Ali Bird Sanctuary,Pleasant,Low,Nov-Feb,Bird Watching,Wildlife,Low
Goa,Reis Magos Fort,Pleasant,Moderate,Nov-Feb,Fort,Historical,Medium

Himachal Pradesh,Khajjiar,Pleasant,Moderate,Mar-Jun,Mini Switzerland,Hill Station,Medium
Himachal Pradesh,Barot,Pleasant,Low,Mar-Jun,River & Hills,Nature,Low
Himachal Pradesh,Churdhar,Pleasant,Low,Mar-Jun,Trekking,Hill Station,Medium
Himachal Pradesh,Brahmaur,Pleasant,Low,Mar-Jun,Scenic Town,Hill Station,Low
Himachal Pradesh,Kotkhai,Pleasant,Low,Mar-Jun,Apple Orchards,Nature,Low

Punjab,Chheharta Sahib,Pleasant,Low,Oct-Mar,Religious Place,Religious,Low
Punjab,Quila Mubarak,Pleasant,Moderate,Oct-Mar,Historic Fort,Historical,Low
Punjab,Nangal Dam,Pleasant,Moderate,Oct-Mar,Dam,Nature,Medium
Punjab,Harike Wetland,Pleasant,Low,Oct-Mar,Bird Sanctuary,Wildlife,Low
Punjab,Sheesh Mahal,Pleasant,Moderate,Oct-Mar,Palace,Historical,Medium

Haryana,Takhni-Rehri,Pleasant,Low,Oct-Mar,Lake,Nature,Low
Haryana,Kalesar National Park,Pleasant,Low,Oct-Mar,Wildlife Sanctuary,Wildlife,Low
Haryana,Adi Badri,Pleasant,Low,Oct-Mar,Ancient Temple,Religious,Low
Haryana,Mangarh Hills,Pleasant,Low,Oct-Mar,Hill Views,Hill Station,Low
Haryana,Rohtak Solar Park,Pleasant,Moderate,Oct-Mar,Modern Attraction,Adventure,Low

Jammu and Kashmir,Verinag,Pleasant,Low,Apr-Jun,Spring & Temple,Nature,Low
Jammu and Kashmir,Aharbal,Cold,Moderate,Mar-Jun,Waterfall,Nature,Medium
Jammu and Kashmir,Shankaracharya Temple,Pleasant,High,Oct-Mar,Temple,Religious,Medium
Jammu and Kashmir,Banihal,Pleasant,Low,Oct-Mar,Hill Pass,Hill Station,Medium
Jammu and Kashmir,Sonamarg Gondola,Cold,Moderate,May-Sep,Snow Adventure,Hill Station,High

Ladakh,Hemis National Park,Cold,Low,May-Sep,Tiger Reserve,Wildlife,High
Ladakh,Stok Palace,Cold,Low,May-Sep,Palace,Historical,Medium
Ladakh,Chadar Trek,Cold,Moderate,Jan-Feb,Trekking,Adventure,High
Ladakh,Magnetic Hill,Cold,High,May-Sep,Gravity Hill,Adventure,Medium
Ladakh,Thiksey Monastery,Cold,Moderate,May-Sep,Monastery,Religious,Medium

Andaman and Nicobar,Radhanagar Beach,Pleasant,High,Oct-May,Sunset Beach,Beach,High
Andaman and Nicobar,Diglipur,Pleasant,Moderate,Oct-May,Nature & Islands,Nature,Medium
Andaman and Nicobar,Mayabunder,Pleasant,Low,Oct-May,Quiet Island,Nature,Medium
Andaman and Nicobar,Long Island,Pleasant,Low,Oct-May,Coral Reefs,Nature,Medium
Andaman and Nicobar,North Bay Island,Pleasant,High,Oct-May,Snorkeling,Beach,Medium

Chandigarh,Elante Mall,Pleasant,High,Oct-Mar,Shopping,City,Medium
Chandigarh,Japanese Garden,Pleasant,Moderate,Oct-Mar,Garden,Nature,Low
Chandigarh,Pinjore Hills,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Medium
Chandigarh,Sector 17 Market,Pleasant,High,Oct-Mar,Shopping,City,Low
Chandigarh,Mohali Cricket Stadium,Pleasant,High,Oct-Mar,Sports,Adventure,Medium
Maharashtra,Sahyadri Trek,Pleasant,Moderate,Oct-Mar,Hill Trek,Hill Station,Medium
Maharashtra,Amboli Waterfall,Pleasant,Low,Jun-Sep,Waterfall,Nature,Low
Maharashtra,Kokankada Fort,Pleasant,Low,Oct-Mar,Fort,Historical,Low
Maharashtra,Tadoba Lake,Pleasant,Low,Oct-Mar,Lake,Nature,Medium
Maharashtra,Murud Janjira,Pleasant,Moderate,Oct-Mar,Fort & Beach,Historical,Medium

Kerala,Parambikulam Tiger Reserve,Pleasant,Low,Oct-Mar,Wildlife,Wildlife,Medium
Kerala,Vypin Island,Pleasant,Moderate,Oct-Mar,Coastal,Nature,Low
Kerala,Meenmutty Falls,Pleasant,Low,Oct-Mar,Waterfall,Nature,Medium
Kerala,Chembra Peak,Pleasant,Moderate,Oct-Mar,Trekking,Hill Station,Medium
Kerala,Kumarakom Bird Sanctuary,Pleasant,Low,Oct-Mar,Bird Watching,Wildlife,Medium

Karnataka,Hampi Bazaar,Pleasant,High,Oct-Mar,Market,Historical,Medium
Karnataka,Jog Falls,Pleasant,High,Jul-Oct,Waterfall,Nature,Medium
Karnataka,Kudremukh,Pleasant,Low,Oct-Mar,Hill Trek,Hill Station,Medium
Karnataka,Coorg Abbey Falls,Pleasant,Moderate,Oct-Mar,Waterfall,Nature,Medium
Karnataka,Chitradurga Fort,Pleasant,Low,Oct-Mar,Fort,Historical,Medium

Tamil Nadu,Kolli Hills,Pleasant,Low,Oct-Mar,Hill Trek,Hill Station,Medium
Tamil Nadu,Hogenakkal Falls,Pleasant,Moderate,Oct-Mar,Waterfall,Nature,Medium
Tamil Nadu,Chettinad Mansions,Pleasant,Low,Oct-Mar,Heritage,Historical,Medium
Tamil Nadu,Yelagiri Hills,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Tamil Nadu,Velankanni,Pleasant,High,Oct-Mar,Church,Religious,Medium

West Bengal,Sundarbans National Park,Pleasant,Moderate,Oct-Mar,Tiger Reserve,Wildlife,Medium
West Bengal,Bhutanata,Moderate,Low,Oct-Mar,Scenic Village,Nature,Low
West Bengal,Raiganj Wildlife Sanctuary,Pleasant,Low,Oct-Mar,Bird Watching,Wildlife,Medium
West Bengal,Digha Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
West Bengal,Bishnupur Temples,Pleasant,Moderate,Oct-Mar,Temple,Historical,Medium

Odisha,Chilika Lake,Pleasant,Moderate,Oct-Mar,Lake,Nature,Medium
Odisha,Konark Beach,Pleasant,High,Oct-Mar,Sunset Beach,Beach,Medium
Odisha,Satkosia Gorge,Pleasant,Low,Oct-Mar,River Gorge,Nature,Low
Odisha,Debrigarh Wildlife Sanctuary,Pleasant,Low,Oct-Mar,Wildlife,Wildlife,Medium
Odisha,Raghurajpur Art Village,Pleasant,Low,Oct-Mar,Art & Culture,Cultural,Medium

Bihar,Bakhtiyarpur Fort,Pleasant,Low,Oct-Mar,Fort,Historical,Low
Bihar,Kesariya Stupa,Pleasant,Moderate,Oct-Mar,Buddhist Monument,Historical,Medium
Bihar,Barabar Caves,Pleasant,Low,Oct-Mar,Ancient Caves,Historical,Low
Bihar,Ganga Ghats,Pleasant,High,Oct-Mar,Riverfront,Religious,Medium
Bihar,Rajgir Hot Springs,Pleasant,Low,Oct-Mar,Nature,Wellness,Low

Jharkhand,Parasnath Hills,Pleasant,Low,Oct-Mar,Hill Trek,Religious,Medium
Jharkhand,Hirni Falls,Pleasant,Low,Oct-Mar,Waterfall,Nature,Low
Jharkhand,Ranchi Rock Garden,Pleasant,Moderate,Oct-Mar,Garden,Nature,Low
Jharkhand,Betla National Park,Pleasant,Low,Oct-Mar,Wildlife,Wildlife,Medium
Jharkhand,Jamshedpur Jubilee Park,Pleasant,Moderate,Oct-Mar,Park,City,Low

Chhattisgarh,Kanker Palace,Pleasant,Low,Oct-Mar,Palace,Historical,Medium
Chhattisgarh,Tirathgarh Falls,Pleasant,Moderate,Oct-Mar,Waterfall,Nature,Medium
Chhattisgarh,Chitrakot Falls,Pleasant,High,Jul-Oct,Waterfall,Nature,Medium
Chhattisgarh,Bastar Dussehra,Pleasant,High,Oct-Mar,Festival,Cultural,Medium
Chhattisgarh,Bandhavgarh Nala,Pleasant,Low,Oct-Mar,Wildlife,Wildlife,Medium

Telangana,Kakatiya Fort,Pleasant,Moderate,Oct-Mar,Fort,Historical,Medium
Telangana,Bhongir Fort,Pleasant,Low,Oct-Mar,Fort,Historical,Low
Telangana,Kuntala Falls,Pleasant,Low,Oct-Mar,Waterfall,Nature,Medium
Telangana,Nagarjuna Sagar Dam,Pleasant,Moderate,Oct-Mar,Dam,Nature,Medium
Telangana,Ramoji Film City,Pleasant,High,Oct-Mar,Film City,Entertainment,Medium

Andhra Pradesh,Borra Caves,Pleasant,Moderate,Oct-Mar,Caves,Adventure,Medium
Andhra Pradesh,Lepakshi Temple,Pleasant,Low,Oct-Mar,Temple,Historical,Medium
Andhra Pradesh,Araku Valley,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Medium
Andhra Pradesh,Thotapalli Barrage,Pleasant,Low,Oct-Mar,Dam,Nature,Low
Andhra Pradesh,Srikalahasti,Pleasant,High,Oct-Mar,Temple,Religious,Medium

Madhya Pradesh,Omkareshwar,Pleasant,Moderate,Oct-Mar,Temple,Religious,Medium
Madhya Pradesh,Bhedaghat,Pleasant,High,Oct-Mar,River & Rocks,Nature,Medium
Madhya Pradesh,Mandu,Pleasant,Moderate,Oct-Mar,Forts & Palaces,Historical,Medium
Madhya Pradesh,Chanderi,Pleasant,Low,Oct-Mar,Textile Village,Cultural,Medium
Madhya Pradesh,Ujjain,Pleasant,High,Oct-Mar,Temple Town,Religious,Medium
Dadra & Nagar Haveli,Saputara Hill,Pleasant,Low,Oct-Mar,Hill Trek,Hill Station,Medium
Dadra & Nagar Haveli,Van Nageshwar,Pleasant,Low,Oct-Mar,Forest,Nature,Low
Dadra & Nagar Haveli,Satmaliya Deer Park,Pleasant,Low,Oct-Mar,Wildlife,Wildlife,Low
Dadra & Nagar Haveli,Dadra Dam,Pleasant,Low,Oct-Mar,Dam,Nature,Low
Dadra & Nagar Haveli,Saptashrungi Hill,Pleasant,Moderate,Oct-Mar,Hill Station,Religious,Medium
Lakshadweep,Kavaratti Island,Pleasant,Low,Oct-Mar,Island,Nature,Medium
Lakshadweep,Agatti Island,Pleasant,Low,Oct-Mar,Island,Nature,Medium
Lakshadweep,Bangaram Island,Pleasant,Low,Oct-Mar,Island,Nature,Medium
Lakshadweep,Minicoy Island,Pleasant,Low,Oct-Mar,Island,Nature,Medium
Lakshadweep,Kalpeni Island,Pleasant,Low,Oct-Mar,Island,Nature,Medium
Daman & Diu,Jampore Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
Daman & Diu,Diu Fort,Pleasant,Moderate,Oct-Mar,Fort,Historical,Medium
Daman & Diu,Ghoghla Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
Daman & Diu,St. Paul’s Church,Pleasant,Low,Oct-Mar,Church,Historical,Low
Daman & Diu,Diu Lighthouse,Pleasant,Low,Oct-Mar,Lighthouse,Scenic,Low
Puducherry,Auroville,Pleasant,Moderate,Oct-Mar,Cultural,Spiritual,Medium
Puducherry,Paradise Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
Puducherry,Arikamedu Ruins,Pleasant,Low,Oct-Mar,Archaeology,Historical,Low
Puducherry,Promenade Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
Puducherry,Sri Aurobindo Ashram,Pleasant,Moderate,Oct-Mar,Ashram,Spiritual,Medium
Goa,Arambol Beach,Pleasant,High,Oct-Mar,Beach,Beach,Medium
Goa,Chapora Fort,Pleasant,Moderate,Oct-Mar,Fort,Historical,Medium
Goa,Divar Island,Pleasant,Low,Oct-Mar,Island,Nature,Low
Goa,Fontainhas,Pleasant,Low,Oct-Mar,Heritage,Cultural,Low
Goa,Salim Ali Bird Sanctuary,Pleasant,Low,Oct-Mar,Bird Watching,Wildlife,Medium
Himachal Pradesh,Triund Trek,Pleasant,Low,Apr-Oct,Hill Trek,Hill Station,Medium
Himachal Pradesh,Prashar Lake,Pleasant,Low,Apr-Oct,Lake,Nature,Low
Himachal Pradesh,Spiti Valley,Pleasant,Low,May-Sep,Valley,Hill Station,Medium
Himachal Pradesh,Chail Palace,Pleasant,Low,Apr-Oct,Palace,Historical,Low
Himachal Pradesh,Kasauli,Pleasant,Moderate,Oct-Mar,Hill Station,Hill Station,Medium
Uttar Pradesh,Chitrakoot,Pleasant,Moderate,Oct-Mar,Religious Town,Religious,Medium
Uttar Pradesh,Varanasi Ghats,Pleasant,High,Oct-Mar,Riverfront,Religious,High
Uttar Pradesh,Mathura Temples,Pleasant,High,Oct-Mar,Temple Town,Religious,Medium
Uttar Pradesh,Bara Imambara,Pleasant,Moderate,Oct-Mar,Heritage,Historical,Medium
Uttar Pradesh,Fatehpur Sikri,Pleasant,Moderate,Oct-Mar,Forts & Palaces,Historical,Medium
Rajasthan,Abhaneri Stepwell,Pleasant,Low,Oct-Mar,Heritage,Historical,Low
Rajasthan,Sam Sand Dunes,Pleasant,High,Oct-Mar,Desert Safari,Nature,Medium
Rajasthan,Kumbhalgarh Fort,Pleasant,Moderate,Oct-Mar,Fort,Historical,Medium
Rajasthan,Bundi Palace,Pleasant,Low,Oct-Mar,Palace,Historical,Low
Rajasthan,Pushkar Lake,Pleasant,High,Oct-Mar,Lake,Religious,Medium
Andhra Pradesh,Draksharamam, Pleasant, Moderate, Oct-Mar, Temple, Religious, Low
Andhra Pradesh,Simhachalam, Pleasant, Moderate, Oct-Mar, Temple, Religious, Low
Andhra Pradesh,Kailasagiri, Pleasant, High, Oct-Mar, Hill View, Hill Station, Medium
Andhra Pradesh,Borra Hills, Pleasant, Low, Oct-Mar, Natural Rocks, Nature, Medium
Andhra Pradesh,Undavalli Caves, Pleasant, Low, Oct-Mar, Rock-cut Caves, Historical, Low

Arunachal Pradesh,Dirang, Cold, Moderate, Mar-Oct, Valley View, Nature, Medium
Arunachal Pradesh,Bomdila Monastery, Cold, Low, Apr-Oct, Monastery, Religious, Medium
Arunachal Pradesh,Mechuka, Cold, Low, Mar-Oct, Scenic Valley, Nature, Medium
Arunachal Pradesh,Yangyang, Pleasant, Low, Mar-Oct, River View, Nature, Medium
Arunachal Pradesh,Tipi, Pleasant, Moderate, Mar-Oct, Wildlife Reserve, Wildlife, Medium

Assam,Sonitpur, Pleasant, Low, Oct-Mar, Wildlife Sanctuary, Wildlife, Medium
Assam,Dibrugarh, Pleasant, Moderate, Oct-Mar, Tea Gardens, Hill Station, Medium
Assam,Tinsukia, Pleasant, Low, Oct-Mar, Oil Heritage, Historical, Medium
Assam,Sivasagar, Pleasant, Moderate, Oct-Mar, Ahom Heritage, Historical, Medium
Assam,Digboi, Pleasant, Low, Oct-Mar, Oil Town, Historical, Low

Bihar,Chhath Ghat, Pleasant, High, Oct-Mar, Religious Site, Religious, Low
Bihar,Rajeev Gandhi Park, Pleasant, Moderate, Oct-Mar, Park, Nature, Low
Bihar,Maner Sharif, Pleasant, Moderate, Oct-Mar, Dargah, Religious, Low
Bihar,Sasaram Fort, Pleasant, Low, Oct-Mar, Fort, Historical, Low
Bihar,Bakhtiyarpur, Pleasant, Low, Oct-Mar, River Town, Nature, Low

Chhattisgarh,Kawardha Palace, Pleasant, Low, Oct-Mar, Palace, Historical, Low
Chhattisgarh,Champaran, Pleasant, Low, Oct-Mar, Historical Site, Historical, Low
Chhattisgarh,Mainpat, Pleasant, Moderate, Oct-Mar, Plateau, Nature, Medium
Chhattisgarh,Tirathgarh Falls, Pleasant, Moderate, Oct-Mar, Waterfall, Nature, Medium
Chhattisgarh,Kanha Hills, Pleasant, Low, Oct-Mar, Hill View, Hill Station, Medium

Delhi,Lodhi Garden, Pleasant, High, Oct-Mar, Garden, Nature, Low
Delhi,Humayun's Tomb, Pleasant, High, Oct-Mar, Tomb, Historical, Low
Delhi,Connaught Place, Pleasant, High, Oct-Mar, Market, City, Medium
Delhi,Jantar Mantar, Pleasant, High, Oct-Mar, Observatory, Historical, Low
Delhi,Raj Ghat, Pleasant, High, Oct-Mar, Memorial, Historical, Low

Goa,Morjim Beach, Warm, Moderate, Nov-Feb, Beach, Beach, Medium
Goa,Arambol, Warm, Moderate, Nov-Feb, Beach, Beach, Medium
Goa,Chorla Ghats, Pleasant, Low, Nov-Feb, Nature Reserve, Nature, Medium
Goa,Tiracol Fort, Warm, Low, Nov-Feb, Fort, Historical, Medium
Goa,Divar Island, Warm, Low, Nov-Feb, Island, Nature, Medium

Gujarat,Modhera Sun Temple, Pleasant, Low, Oct-Mar, Temple, Historical, Medium
Gujarat,Lakshman Jhula, Pleasant, Moderate, Oct-Mar, Bridge, Historical, Low
Gujarat,Gandhinagar, Pleasant, Moderate, Oct-Mar, City, City, Medium
Gujarat,Mount Girnar, Pleasant, Low, Oct-Mar, Hill, Hill Station, Medium
Gujarat,Jambughoda, Pleasant, Low, Oct-Mar, Wildlife Sanctuary, Wildlife, Medium

Haryana,Panipat, Pleasant, Low, Oct-Mar, Historical Site, Historical, Low
Haryana,Adalatgarh, Pleasant, Low, Oct-Mar, Fort, Historical, Low
Haryana,Karoh Peak, Pleasant, Moderate, Oct-Mar, Hill View, Hill Station, Medium
Haryana,Kurukshetra Museum, Pleasant, Low, Oct-Mar, Museum, Historical, Low
Haryana,Fatehabad Fort, Pleasant, Low, Oct-Mar, Fort, Historical, Low

Himachal Pradesh,Palampur, Pleasant, Moderate, Mar-Jun, Tea Gardens, Hill Station, Medium
Himachal Pradesh,Narkanda, Cold, Moderate, Dec-Feb, Skiing, Hill Station, Medium
Himachal Pradesh,Chowari, Cold, Low, Apr-Jun, Scenic Valley, Nature, Medium
Himachal Pradesh,Kangra, Pleasant, Low, Oct-Mar, Fort & Temple, Historical, Medium
Himachal Pradesh,Mcleodganj, Pleasant, High, Mar-Jun, Dalai Lama Temple, Hill Station, Medium

Jammu and Kashmir,Anantnag, Cold, Moderate, May-Sep, Hill View, Nature, Medium
Jammu and Kashmir,Betab Valley, Cold, Moderate, May-Sep, Scenic Valley, Nature, Medium
Jammu and Kashmir,Kishtwar, Cold, Low, May-Sep, Valley, Nature, Medium
Jammu and Kashmir,Sonamarg Meadows, Cold, Low, May-Sep, Meadow, Nature, Medium
Jammu and Kashmir,Botanical Garden Srinagar, Pleasant, Moderate, Apr-Oct, Garden, Nature, Medium

Jharkhand,Ratu Fort, Pleasant, Low, Oct-Mar, Fort, Historical, Low
Jharkhand,Jonha Falls, Pleasant, Moderate, Oct-Mar, Waterfall, Nature, Medium
Jharkhand,Hemkund Lake, Cold, Low, Apr-Oct, Lake, Nature, Medium
Jharkhand,Barkakana, Pleasant, Low, Oct-Mar, Town, City, Low
Jharkhand,Parasnath Hill, Pleasant, Moderate, Oct-Mar, Hill, Hill Station, Medium

Karnataka,Somnathpur, Pleasant, Low, Oct-Mar, Temple, Historical, Low
Karnataka,Karwar, Pleasant, Moderate, Oct-Mar, Beach, Beach, Medium
Karnataka,Kudremukh, Pleasant, Low, Oct-Mar, National Park, Wildlife, Medium
Karnataka,Coorg Abbey Falls, Pleasant, Moderate, Oct-Mar, Waterfall, Nature, Medium
Karnataka,St. Mary's Island, Pleasant, Moderate, Oct-Mar, Island, Nature, Medium

Kerala,Kollam, Pleasant, Moderate, Oct-Mar, Backwaters, Nature, Medium
Kerala,Thiruvananthapuram, Pleasant, High, Oct-Mar, City, City, Medium
Kerala,Kumarakom Bird Sanctuary, Pleasant, Moderate, Oct-Mar, Sanctuary, Wildlife, Medium
Kerala,Vagamon, Pleasant, Moderate, Oct-Mar, Hill View, Hill Station, Medium
Kerala,Athirapally Falls, Pleasant, Moderate, Oct-Mar, Waterfall, Nature, Medium

Madhya Pradesh,Khajuraho Museum, Pleasant, Moderate, Oct-Mar, Museum, Historical, Medium
Madhya Pradesh,Omkareshwar Temple, Pleasant, Moderate, Oct-Mar, Temple, Religious, Medium
Madhya Pradesh,Bhedaghat, Pleasant, Low, Oct-Mar, Waterfalls, Nature, Medium
Madhya Pradesh,Satpura National Park, Pleasant, Moderate, Nov-Mar, Wildlife, Wildlife, Medium
Madhya Pradesh,Chitrakoot, Pleasant, Moderate, Oct-Mar, Pilgrimage, Religious, Medium

Maharashtra,Tamhini Ghat, Pleasant, Low, Jun-Feb, Valley, Nature, Medium
Maharashtra,Sindhudurg Fort, Pleasant, Low, Nov-Feb, Fort, Historical, Medium
Maharashtra,Mahabaleshwar, Pleasant, High, Jun-Feb, Hill Station, Hill Station, Medium
Maharashtra,Panchgani, Pleasant, Moderate, Jun-Feb, Hill View, Hill Station, Medium
Maharashtra,Tuljapur, Pleasant, Low, Oct-Mar, Temple, Religious, Medium

Manipur,Moreh, Pleasant, Low, Oct-Mar, Border Town, City, Low
Manipur,Phungyar, Pleasant, Low, Oct-Mar, Hill View, Hill Station, Low
Manipur,Kaina, Pleasant, Low, Oct-Mar, Hill View, Hill Station, Low
Manipur,Sadar Hills, Pleasant, Moderate, Oct-Mar, Hill View, Hill Station, Medium
Manipur,Churachandpur, Pleasant, Low, Oct-Mar, Town, City, Low
Meghalaya,Laitumkhrah, Pleasant, Moderate, Oct-Mar, Hill Town, Hill Station, Medium
Meghalaya,Shillong Peak, Pleasant, High, Oct-Mar, Viewpoint, Hill Station, Medium
Meghalaya,Nongstoin, Pleasant, Low, Oct-Mar, Valley, Nature, Medium
Meghalaya,Cherrapunji Mawsmai Caves, Pleasant, Low, Oct-Mar, Cave, Nature, Medium
Meghalaya,Mawphlang, Pleasant, Low, Oct-Mar, Forest, Nature, Medium

Mizoram,Lunglei, Pleasant, Moderate, Oct-Mar, Hill Town, Hill Station, Medium
Mizoram,Aizawl, Pleasant, Moderate, Oct-Mar, City, City, Medium
Mizoram,Serchhip, Pleasant, Low, Oct-Mar, Hill View, Hill Station, Medium
Mizoram,Reiek, Pleasant, Moderate, Oct-Mar, Hill, Nature, Medium
Mizoram,Saiha, Pleasant, Low, Oct-Mar, Town, City, Low

Nagaland,Kohima, Pleasant, Moderate, Oct-Mar, City, Hill Station, Medium
Nagaland,Dimapur, Pleasant, Moderate, Oct-Mar, Town, City, Medium
Nagaland,Mokokchung, Pleasant, Low, Oct-Mar, Hill Town, Hill Station, Medium
Nagaland,Phek, Pleasant, Low, Oct-Mar, Hill View, Nature, Medium
Nagaland,Wokha, Pleasant, Low, Oct-Mar, Hill, Nature, Medium

Odisha,Chilika Lake, Pleasant, Moderate, Oct-Mar, Lake, Nature, Medium
Odisha,Konark, Pleasant, High, Oct-Mar, Temple, Historical, Medium
Odisha,Chandrabhaga Beach, Pleasant, Moderate, Oct-Mar, Beach, Beach, Medium
Odisha,Debrigarh, Pleasant, Low, Oct-Mar, Wildlife Sanctuary, Wildlife, Medium
Odisha,Daringbadi, Pleasant, Low, Oct-Mar, Hill Station, Hill Station, Medium

Puducherry,Auroville, Pleasant, Moderate, Oct-Mar, City, Spiritual, Medium
Puducherry,Paradise Beach, Warm, Moderate, Oct-Mar, Beach, Beach, Medium
Puducherry,Chunnambar Boat House, Warm, Low, Oct-Mar, River, Nature, Medium
Puducherry,Arikamedu, Warm, Low, Oct-Mar, Archaeological Site, Historical, Medium
Puducherry,Rock Beach, Warm, Moderate, Oct-Mar, Beach, Beach, Medium

Punjab,Jallianwala Bagh, Pleasant, High, Oct-Mar, Memorial, Historical, Low
Punjab,Anandpur Sahib, Pleasant, Moderate, Oct-Mar, Gurdwara, Religious, Medium
Punjab,Sheesh Mahal, Pleasant, Moderate, Oct-Mar, Palace, Historical, Medium
Punjab,Harike Wetland, Pleasant, Low, Oct-Mar, Wildlife Sanctuary, Wildlife, Medium
Punjab,Khanna, Pleasant, Low, Oct-Mar, Town, City, Low

Rajasthan,Bundi Palace, Pleasant, High, Oct-Mar, Palace, Historical, Medium
Rajasthan,Mount Abu, Pleasant, Moderate, Oct-Mar, Hill Station, Hill Station, Medium
Rajasthan,Jaisalmer Fort, Pleasant, High, Oct-Mar, Fort, Historical, Medium
Rajasthan,Pushkar, Pleasant, Moderate, Oct-Mar, Religious Site, Religious, Medium
Rajasthan,Chittorgarh, Pleasant, Moderate, Oct-Mar, Fort, Historical, Medium

Sikkim,Gangtok, Pleasant, Moderate, Oct-Mar, City, Hill Station, Medium
Sikkim,Yuksom, Pleasant, Low, Oct-Mar, Valley, Nature, Medium
